Date,AMZN,CAT,DE,EXC,GOOG,JNJ,JPM,META,PFE,PG
2015-12-15,32.93199920654297,52.5865478515625,65.56130981445312,13.088851928710938,36.99477767944336,80.0250015258789,50.92426681518555,104.05956268310547,20.585617065429688,61.36226272583008
2015-12-16,33.78850173950195,53.35072326660156,66.35911560058594,13.491971015930176,37.72581100463867,80.88573455810547,52.02595138549805,106.2890625,20.789810180664062,62.37108612060547
2015-12-17,33.532501220703125,51.12910461425781,65.27278900146484,13.573623657226562,37.294857025146484,79.64840698242188,51.062931060791016,105.72173309326172,20.630287170410156,61.8320198059082
2015-12-18,33.207000732421875,51.29452896118164,63.62632369995117,13.726704597473145,36.791236877441406,78.34965515136719,49.61456298828125,103.55195617675781,20.4133243560791,60.16857147216797
2015-12-21,33.22549819946289,51.396949768066406,64.25435638427734,13.997157096862793,37.21224594116211,78.06529235839844,50.49284362792969,104.27852630615234,20.71323585510254,60.80006408691406
2015-12-22,33.157501220703125,53.89431381225586,65.84989166259766,14.043084144592285,37.323219299316406,78.93370056152344,50.60069274902344,105.01506042480469,20.751522064208984,61.30065155029297
2015-12-23,33.185001373291016,55.06026840209961,67.2332534790039,14.180864334106445,37.33864974975586,79.53313446044922,51.40961456298828,104.13919067382812,20.77704620361328,61.547080993652344
2015-12-24,33.13949966430664,54.65849685668945,66.8683090209961,14.160454750061035,37.243595123291016,79.70992279052734,51.309478759765625,104.52735900878906,20.815338134765625,61.446964263916016
2015-12-28,33.7599983215332,54.02824401855469,66.17237854003906,14.165553092956543,37.94577407836914,79.32564544677734,51.13998031616211,105.43309783935547,20.687707901000977,61.547080993652344
2015-12-29,34.69850158691406,54.508819580078125,66.40328216552734,14.262506484985352,38.646949768066406,79.94815826416016,51.671566009521484,106.75685119628906,20.9493408203125,61.885929107666016
2015-12-30,34.45349884033203,54.11491775512695,66.28356170654297,14.129837989807129,38.36826705932617,79.75603485107422,51.301753997802734,105.72173309326172,20.898290634155273,61.66259765625
2015-12-31,33.794498443603516,53.53981018066406,65.2315673828125,14.170655250549316,37.76512908935547,78.94141387939453,50.870330810546875,104.16905975341797,20.598379135131836,61.15431594848633
2016-01-04,31.84950065612793,53.563419342041016,65.06908416748047,14.27271842956543,36.917144775390625,77.2199478149414,49.34244918823242,101.74049377441406,20.38779640197754,60.35342788696289
